Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;0;14;4.400;Awful;;;
2;0;20;4.840;Awful;;;
3;10;28;5.276;Awful;;;
4;50;34;5.539;Awful;;;Limits
5;10;30;6.038;Awful;;;0
6;30;20;6.461;Awful;;;190
7;40;35;6.848;Awful;;;
8;40;40;7.259;Awful;;;
9;40;40;7.695;Awful;;;
10;30;35;8.233;Awful;;;
11;40;35;8.727;Awful;;;
12;40;40;9.251;Awful;;;
13;30;35;9.898;Awful;;;
14;40;35;10.492;Awful;;;
15;60;50;10.912;Awful;;;
16;50;55;11.458;Awful;;;
17;30;40;12.260;Awful;;;
18;60;45;12.750;Awful;;;
19;50;55;13.388;Awful;;;
20;50;50;14.057;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;80;80;4.080;Low;;;
2;100;90;4.080;Low;;;
3;80;90;4.162;Low;;;
4;80;80;4.245;Low;;;
5;80;80;4.330;Low;;;
6;90;85;4.373;Low;;;
7;80;85;4.460;Low;;;
8;90;85;4.505;Low;;;
9;80;85;4.595;Low;;;
10;90;85;4.641;Low;;;
11;70;80;4.780;Low;;;
12;80;75;4.876;Low;;;
13;100;90;4.876;Low;;;
14;80;90;4.974;Low;;;
15;90;85;5.023;Low;;;
16;90;90;5.073;Low;;;
17;100;95;5.073;Low;;;
18;90;95;5.124;Low;;;
19;100;95;5.124;Low;;;
20;70;85;5.278;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;90;90;4.040;Average;;;
2;80;85;4.121;Average;;;
3;100;90;4.121;Average;;;
4;110;105;4.080;Average;;;
5;120;115;3.998;Average;;;
6;110;115;3.958;Average;;;
7;110;110;3.918;Average;;;
8;130;120;3.801;Average;;;
9;110;120;3.763;Average;;;
10;110;110;3.725;Average;;;
11;110;110;3.688;Average;;;
12;100;105;3.688;Average;;;
13;100;100;3.688;Average;;;
14;110;105;3.651;Average;;;
15;100;105;3.651;Average;;;
16;120;110;3.578;Average;;;
17;120;120;3.507;Average;;;
18;130;125;3.401;Average;;;
19;100;115;3.401;Average;;;
20;90;95;3.435;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;130;130;3.880;High;;;
2;150;140;3.686;High;;;
3;130;140;3.575;High;;;
4;150;140;3.397;High;;;
5;130;140;3.295;High;;;
6;120;125;3.229;High;;;
7;160;140;3.035;High;;;
8;150;155;2.883;High;;;
9;130;140;2.797;High;;;
10;130;130;2.713;High;;;
11;140;135;2.604;High;;;
12;130;135;2.526;High;;;
13;120;125;2.476;High;;;
14;110;115;2.451;High;;;
15;130;120;2.377;High;;;
16;120;125;2.330;High;;;
17;110;115;2.307;High;;;
18;120;115;2.261;High;;;
19;120;120;2.215;High;;;
20;110;115;2.193;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;150;150;3.800;Expert;;;
2;170;160;3.534;Expert;;;
3;180;175;3.251;Expert;;;
4;200;190;2.926;Expert;;;
5;180;190;2.692;Expert;;;
6;180;180;2.477;Expert;;;
7;190;185;2.254;Expert;;;
8;170;180;2.096;Expert;;;
9;170;170;1.949;Expert;;;
10;150;160;1.852;Expert;;;
11;160;155;1.741;Expert;;;
12;140;150;1.671;Expert;;;
13;120;130;1.638;Expert;;;
14;140;130;1.572;Expert;;;
15;150;145;1.494;Expert;;;
16;110;130;1.479;Expert;;;
17;110;110;1.464;Expert;;;
18;120;115;1.435;Expert;;;
19;110;115;1.420;Expert;;;
20;100;105;1.420;Expert;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;20;20;5.280;Awful;;;
2;30;25;6.574;Awful;;;
3;10;20;9.236;Awful;;;
4;20;15;12.191;Awful;;;
5;50;35;13.715;Awful;;;
6;50;50;15.430;Awful;;;
7;40;45;18.207;Awful;;;
8;50;45;20.000;Awful;;;
9;50;50;20.000;Awful;;;
10;50;50;20.000;Awful;;;
11;60;55;20.000;Awful;;;
12;50;55;20.000;Awful;;;
13;40;45;20.000;Awful;;;
14;60;50;20.000;Awful;;;
15;50;55;20.000;Awful;;;
