Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
9;30;=AVERAGE($B$93:$B$94);4.000;Awful;NoScaling
10;20;=AVERAGE($B$94:$B$95);4.000;Awful;NoScaling
11;20;=AVERAGE($B$95:$B$96);4.000;Awful;NoScaling
12;30;=AVERAGE($B$96:$B$97);4.000;Awful;NoScaling
13;40;=AVERAGE($B$97:$B$98);4.000;Awful;NoScaling
14;50;=AVERAGE($B$98:$B$99);4.000;Awful;NoScaling
15;10;=AVERAGE($B$99:$B$100);4.000;Awful;NoScaling
16;30;=AVERAGE($B$100:$B$101);4.000;Awful;NoScaling
17;10;=AVERAGE($B$101:$B$102);4.000;Awful;NoScaling
18;10;=AVERAGE($B$102:$B$103);4.000;Awful;NoScaling
19;20;=AVERAGE($B$103:$B$104);4.000;Awful;NoScaling
20;0;=AVERAGE($B$104:$B$105);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;10;10;4.000;Awful;NoScaling
2;20;=AVERAGE($B$107:$B$108);4.000;Awful;NoScaling
3;20;=AVERAGE($B$108:$B$109);4.000;Awful;NoScaling
4;30;=AVERAGE($B$109:$B$110);4.000;Awful;NoScaling
5;20;=AVERAGE($B$110:$B$111);4.000;Awful;NoScaling
6;10;=AVERAGE($B$111:$B$112);4.000;Awful;NoScaling
7;10;=AVERAGE($B$112:$B$113);4.000;Awful;NoScaling
8;10;=AVERAGE($B$113:$B$114);4.000;Awful;NoScaling
9;40;=AVERAGE($B$114:$B$115);4.000;Awful;NoScaling
10;30;=AVERAGE($B$115:$B$116);4.000;Awful;NoScaling
11;10;=AVERAGE($B$116:$B$117);4.000;Awful;NoScaling
12;20;=AVERAGE($B$117:$B$118);4.000;Awful;NoScaling
13;30;=AVERAGE($B$118:$B$119);4.000;Awful;NoScaling
14;30;=AVERAGE($B$119:$B$120);4.000;Awful;NoScaling
15;30;=AVERAGE($B$120:$B$121);4.000;Awful;NoScaling
16;20;=AVERAGE($B$121:$B$122);4.000;Awful;NoScaling
17;10;=AVERAGE($B$122:$B$123);4.000;Awful;NoScaling
18;40;=AVERAGE($B$123:$B$124);4.000;Awful;NoScaling
19;30;=AVERAGE($B$124:$B$125);4.000;Awful;NoScaling
20;20;=AVERAGE($B$125:$B$126);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;0;0;4.000;Awful;NoScaling
2;10;=AVERAGE($B$128:$B$129);4.000;Awful;NoScaling
3;10;=AVERAGE($B$129:$B$130);4.000;Awful;NoScaling
4;40;=AVERAGE($B$130:$B$131);4.000;Awful;NoScaling
5;0;=AVERAGE($B$131:$B$132);4.000;Awful;NoScaling
6;0;=AVERAGE($B$132:$B$133);4.000;Awful;NoScaling
7;0;=AVERAGE($B$133:$B$134);4.000;Awful;NoScaling
8;20;=AVERAGE($B$134:$B$135);4.000;Awful;NoScaling
9;10;=AVERAGE($B$135:$B$136);4.000;Awful;NoScaling
10;10;=AVERAGE($B$136:$B$137);4.000;Awful;NoScaling
11;10;=AVERAGE($B$137:$B$138);4.000;Awful;NoScaling
12;0;=AVERAGE($B$138:$B$139);4.000;Awful;NoScaling
13;20;=AVERAGE($B$139:$B$140);4.000;Awful;NoScaling
14;20;=AVERAGE($B$140:$B$141);4.000;Awful;NoScaling
15;40;=AVERAGE($B$141:$B$142);4.000;Awful;NoScaling
16;20;=AVERAGE($B$142:$B$143);4.000;Awful;NoScaling
17;40;=AVERAGE($B$143:$B$144);4.000;Awful;NoScaling
18;30;=AVERAGE($B$144:$B$145);4.000;Awful;NoScaling
19;20;=AVERAGE($B$145:$B$146);4.000;Awful;NoScaling
20;20;=AVERAGE($B$146:$B$147);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;10;10;4.000;Awful;NoScaling
2;10;=AVERAGE($B$149:$B$150);4.000;Awful;NoScaling
3;30;=AVERAGE($B$150:$B$151);4.000;Awful;NoScaling
4;20;=AVERAGE($B$151:$B$152);4.000;Awful;NoScaling
5;10;=AVERAGE($B$152:$B$153);4.000;Awful;NoScaling
6;10;=AVERAGE($B$153:$B$154);4.000;Awful;NoScaling
7;40;=AVERAGE($B$154:$B$155);4.000;Awful;NoScaling
8;30;=AVERAGE($B$155:$B$156);4.000;Awful;NoScaling
9;10;=AVERAGE($B$156:$B$157);4.000;Awful;NoScaling
10;0;=AVERAGE($B$157:$B$158);4.000;Awful;NoScaling
11;40;=AVERAGE($B$158:$B$159);4.000;Awful;NoScaling
12;50;=AVERAGE($B$159:$B$160);4.000;Awful;NoScaling
13;30;=AVERAGE($B$160:$B$161);4.000;Awful;NoScaling
14;20;=AVERAGE($B$161:$B$162);4.000;Awful;NoScaling
15;40;=AVERAGE($B$162:$B$163);4.000;Awful;NoScaling
16;20;=AVERAGE($B$163:$B$164);4.000;Awful;NoScaling
17;10;=AVERAGE($B$164:$B$165);4.000;Awful;NoScaling
18;30;=AVERAGE($B$165:$B$166);4.000;Awful;NoScaling
