Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
3;40;=AVERAGE($B$1746:$B$1747);4.000;Low;NoScaling
4;60;=AVERAGE($B$1747:$B$1748);4.000;Low;NoScaling
5;70;=AVERAGE($B$1748:$B$1749);4.000;Low;NoScaling
6;30;=AVERAGE($B$1749:$B$1750);4.000;Low;NoScaling
7;60;=AVERAGE($B$1750:$B$1751);4.000;Low;NoScaling
8;40;=AVERAGE($B$1751:$B$1752);4.000;Low;NoScaling
9;80;=AVERAGE($B$1752:$B$1753);4.000;Low;NoScaling
10;50;=AVERAGE($B$1753:$B$1754);4.000;Low;NoScaling
11;70;=AVERAGE($B$1754:$B$1755);4.000;Low;NoScaling
12;70;=AVERAGE($B$1755:$B$1756);4.000;Low;NoScaling
13;90;=AVERAGE($B$1756:$B$1757);4.000;Low;NoScaling
14;60;=AVERAGE($B$1757:$B$1758);4.000;Low;NoScaling
15;70;=AVERAGE($B$1758:$B$1759);4.000;Low;NoScaling
16;60;=AVERAGE($B$1759:$B$1760);4.000;Low;NoScaling
17;40;=AVERAGE($B$1760:$B$1761);4.000;Low;NoScaling
18;70;=AVERAGE($B$1761:$B$1762);4.000;Low;NoScaling
19;70;=AVERAGE($B$1762:$B$1763);4.000;Low;NoScaling
20;50;=AVERAGE($B$1763:$B$1764);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;40;40;4.000;Low;NoScaling
2;50;=AVERAGE($B$1766:$B$1767);4.000;Low;NoScaling
3;70;=AVERAGE($B$1767:$B$1768);4.000;Low;NoScaling
4;50;=AVERAGE($B$1768:$B$1769);4.000;Low;NoScaling
5;70;=AVERAGE($B$1769:$B$1770);4.000;Low;NoScaling
6;50;=AVERAGE($B$1770:$B$1771);4.000;Low;NoScaling
7;60;=AVERAGE($B$1771:$B$1772);4.000;Low;NoScaling
8;70;=AVERAGE($B$1772:$B$1773);4.000;Low;NoScaling
9;60;=AVERAGE($B$1773:$B$1774);4.000;Low;NoScaling
10;60;=AVERAGE($B$1774:$B$1775);4.000;Low;NoScaling
11;30;=AVERAGE($B$1775:$B$1776);4.000;Low;NoScaling
12;60;=AVERAGE($B$1776:$B$1777);4.000;Low;NoScaling
13;30;=AVERAGE($B$1777:$B$1778);4.000;Low;NoScaling
14;70;=AVERAGE($B$1778:$B$1779);4.000;Low;NoScaling
15;90;=AVERAGE($B$1779:$B$1780);4.000;Low;NoScaling
16;70;=AVERAGE($B$1780:$B$1781);4.000;Low;NoScaling
17;80;=AVERAGE($B$1781:$B$1782);4.000;Low;NoScaling
18;40;=AVERAGE($B$1782:$B$1783);4.000;Low;NoScaling
19;70;=AVERAGE($B$1783:$B$1784);4.000;Low;NoScaling
20;70;=AVERAGE($B$1784:$B$1785);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;50;50;4.000;Low;NoScaling
2;60;=AVERAGE($B$1787:$B$1788);4.000;Low;NoScaling
3;70;=AVERAGE($B$1788:$B$1789);4.000;Low;NoScaling
4;50;=AVERAGE($B$1789:$B$1790);4.000;Low;NoScaling
5;50;=AVERAGE($B$1790:$B$1791);4.000;Low;NoScaling
6;30;=AVERAGE($B$1791:$B$1792);4.000;Low;NoScaling
7;50;=AVERAGE($B$1792:$B$1793);4.000;Low;NoScaling
8;70;=AVERAGE($B$1793:$B$1794);4.000;Low;NoScaling
9;70;=AVERAGE($B$1794:$B$1795);4.000;Low;NoScaling
10;60;=AVERAGE($B$1795:$B$1796);4.000;Low;NoScaling
11;60;=AVERAGE($B$1796:$B$1797);4.000;Low;NoScaling
12;70;=AVERAGE($B$1797:$B$1798);4.000;Low;NoScaling
13;80;=AVERAGE($B$1798:$B$1799);4.000;Low;NoScaling
14;40;=AVERAGE($B$1799:$B$1800);4.000;Low;NoScaling
15;70;=AVERAGE($B$1800:$B$1801);4.000;Low;NoScaling
16;60;=AVERAGE($B$1801:$B$1802);4.000;Low;NoScaling
17;60;=AVERAGE($B$1802:$B$1803);4.000;Low;NoScaling
18;70;=AVERAGE($B$1803:$B$1804);4.000;Low;NoScaling
19;50;=AVERAGE($B$1804:$B$1805);4.000;Low;NoScaling
20;50;=AVERAGE($B$1805:$B$1806);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;20;20;4.000;Low;NoScaling
2;50;=AVERAGE($B$1808:$B$1809);4.000;Low;NoScaling
3;60;=AVERAGE($B$1809:$B$1810);4.000;Low;NoScaling
4;70;=AVERAGE($B$1810:$B$1811);4.000;Low;NoScaling
5;50;=AVERAGE($B$1811:$B$1812);4.000;Low;NoScaling
6;50;=AVERAGE($B$1812:$B$1813);4.000;Low;NoScaling
7;50;=AVERAGE($B$1813:$B$1814);4.000;Low;NoScaling
8;70;=AVERAGE($B$1814:$B$1815);4.000;Low;NoScaling
9;40;=AVERAGE($B$1815:$B$1816);4.000;Low;NoScaling
10;70;=AVERAGE($B$1816:$B$1817);4.000;Low;NoScaling
11;30;=AVERAGE($B$1817:$B$1818);4.000;Low;NoScaling
12;60;=AVERAGE($B$1818:$B$1819);4.000;Low;NoScaling
13;70;=AVERAGE($B$1819:$B$1820);4.000;Low;NoScaling
14;60;=AVERAGE($B$1820:$B$1821);4.000;Low;NoScaling
15;60;=AVERAGE($B$1821:$B$1822);4.000;Low;NoScaling
16;40;=AVERAGE($B$1822:$B$1823);4.000;Low;NoScaling
17;70;=AVERAGE($B$1823:$B$1824);4.000;Low;NoScaling
18;80;=AVERAGE($B$1824:$B$1825);4.000;Low;NoScaling
19;70;=AVERAGE($B$1825:$B$1826);4.000;Low;NoScaling
20;40;=AVERAGE($B$1826:$B$1827);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;40;40;4.000;Low;NoScaling
2;50;=AVERAGE($B$1829:$B$1830);4.000;Low;NoScaling
3;70;=AVERAGE($B$1830:$B$1831);4.000;Low;NoScaling
4;90;=AVERAGE($B$1831:$B$1832);4.000;Low;NoScaling
5;30;=AVERAGE($B$1832:$B$1833);4.000;Low;NoScaling
6;60;=AVERAGE($B$1833:$B$1834);4.000;Low;NoScaling
7;50;=AVERAGE($B$1834:$B$1835);4.000;Low;NoScaling
8;70;=AVERAGE($B$1835:$B$1836);4.000;Low;NoScaling
9;40;=AVERAGE($B$1836:$B$1837);4.000;Low;NoScaling
10;70;=AVERAGE($B$1837:$B$1838);4.000;Low;NoScaling
11;50;=AVERAGE($B$1838:$B$1839);4.000;Low;NoScaling
12;50;=AVERAGE($B$1839:$B$1840);4.000;Low;NoScaling
13;70;=AVERAGE($B$1840:$B$1841);4.000;Low;NoScaling
14;60;=AVERAGE($B$1841:$B$1842);4.000;Low;NoScaling
15;70;=AVERAGE($B$1842:$B$1843);4.000;Low;NoScaling
16;50;=AVERAGE($B$1843:$B$1844);4.000;Low;NoScaling
17;60;=AVERAGE($B$1844:$B$1845);4.000;Low;NoScaling
18;30;=AVERAGE($B$1845:$B$1846);4.000;Low;NoScaling
19;70;=AVERAGE($B$1846:$B$1847);4.000;Low;NoScaling
20;60;=AVERAGE($B$1847:$B$1848);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;40;40;4.000;Low;NoScaling
2;60;=AVERAGE($B$1850:$B$1851);4.000;Low;NoScaling
3;50;=AVERAGE($B$1851:$B$1852);4.000;Low;NoScaling
4;50;=AVERAGE($B$1852:$B$1853);4.000;Low;NoScaling
5;70;=AVERAGE($B$1853:$B$1854);4.000;Low;NoScaling
6;40;=AVERAGE($B$1854:$B$1855);4.000;Low;NoScaling
7;50;=AVERAGE($B$1855:$B$1856);4.000;Low;NoScaling
8;60;=AVERAGE($B$1856:$B$1857);4.000;Low;NoScaling
9;70;=AVERAGE($B$1857:$B$1858);4.000;Low;NoScaling
10;40;=AVERAGE($B$1858:$B$1859);4.000;Low;NoScaling
11;70;=AVERAGE($B$1859:$B$1860);4.000;Low;NoScaling
12;60;=AVERAGE($B$1860:$B$1861);4.000;Low;NoScaling
13;80;=AVERAGE($B$1861:$B$1862);4.000;Low;NoScaling
14;70;=AVERAGE($B$1862:$B$1863);4.000;Low;NoScaling
15;60;=AVERAGE($B$1863:$B$1864);4.000;Low;NoScaling
16;80;=AVERAGE($B$1864:$B$1865);4.000;Low;NoScaling
17;70;=AVERAGE($B$1865:$B$1866);4.000;Low;NoScaling
18;60;=AVERAGE($B$1866:$B$1867);4.000;Low;NoScaling
19;70;=AVERAGE($B$1867:$B$1868);4.000;Low;NoScaling
20;60;=AVERAGE($B$1868:$B$1869);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;30;30;4.000;Low;NoScaling
2;70;=AVERAGE($B$1871:$B$1872);4.000;Low;NoScaling
3;70;=AVERAGE($B$1872:$B$1873);4.000;Low;NoScaling
4;30;=AVERAGE($B$1873:$B$1874);4.000;Low;NoScaling
5;40;=AVERAGE($B$1874:$B$1875);4.000;Low;NoScaling
6;60;=AVERAGE($B$1875:$B$1876);4.000;Low;NoScaling
7;70;=AVERAGE($B$1876:$B$1877);4.000;Low;NoScaling
8;70;=AVERAGE($B$1877:$B$1878);4.000;Low;NoScaling
9;70;=AVERAGE($B$1878:$B$1879);4.000;Low;NoScaling
10;50;=AVERAGE($B$1879:$B$1880);4.000;Low;NoScaling
11;60;=AVERAGE($B$1880:$B$1881);4.000;Low;NoScaling
12;70;=AVERAGE($B$1881:$B$1882);4.000;Low;NoScaling
13;30;=AVERAGE($B$1882:$B$1883);4.000;Low;NoScaling
14;50;=AVERAGE($B$1883:$B$1884);4.000;Low;NoScaling
15;60;=AVERAGE($B$1884:$B$1885);4.000;Low;NoScaling
16;60;=AVERAGE($B$1885:$B$1886);4.000;Low;NoScaling
17;40;=AVERAGE($B$1886:$B$1887);4.000;Low;NoScaling
18;40;=AVERAGE($B$1887:$B$1888);4.000;Low;NoScaling
19;50;=AVERAGE($B$1888:$B$1889);4.000;Low;NoScaling
20;40;=AVERAGE($B$1889:$B$1890);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;60;60;4.000;Low;NoScaling
2;60;=AVERAGE($B$1892:$B$1893);4.000;Low;NoScaling
3;60;=AVERAGE($B$1893:$B$1894);4.000;Low;NoScaling
4;50;=AVERAGE($B$1894:$B$1895);4.000;Low;NoScaling
5;50;=AVERAGE($B$1895:$B$1896);4.000;Low;NoScaling
6;50;=AVERAGE($B$1896:$B$1897);4.000;Low;NoScaling
7;60;=AVERAGE($B$1897:$B$1898);4.000;Low;NoScaling
8;70;=AVERAGE($B$1898:$B$1899);4.000;Low;NoScaling
9;80;=AVERAGE($B$1899:$B$1900);4.000;Low;NoScaling
10;50;=AVERAGE($B$1900:$B$1901);4.000;Low;NoScaling
11;80;=AVERAGE($B$1901:$B$1902);4.000;Low;NoScaling
12;30;=AVERAGE($B$1902:$B$1903);4.000;Low;NoScaling
13;40;=AVERAGE($B$1903:$B$1904);4.000;Low;NoScaling
14;60;=AVERAGE($B$1904:$B$1905);4.000;Low;NoScaling
15;80;=AVERAGE($B$1905:$B$1906);4.000;Low;NoScaling
16;60;=AVERAGE($B$1906:$B$1907);4.000;Low;NoScaling
17;90;=AVERAGE($B$1907:$B$1908);4.000;Low;NoScaling
18;80;=AVERAGE($B$1908:$B$1909);4.000;Low;NoScaling
19;70;=AVERAGE($B$1909:$B$1910);4.000;Low;NoScaling
20;60;=AVERAGE($B$1910:$B$1911);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;40;40;4.000;Low;NoScaling
2;50;=AVERAGE($B$1913:$B$1914);4.000;Low;NoScaling
3;70;=AVERAGE($B$1914:$B$1915);4.000;Low;NoScaling
4;70;=AVERAGE($B$1915:$B$1916);4.000;Low;NoScaling
5;40;=AVERAGE($B$1916:$B$1917);4.000;Low;NoScaling
6;80;=AVERAGE($B$1917:$B$1918);4.000;Low;NoScaling
7;70;=AVERAGE($B$1918:$B$1919);4.000;Low;NoScaling
8;50;=AVERAGE($B$1919:$B$1920);4.000;Low;NoScaling
9;70;=AVERAGE($B$1920:$B$1921);4.000;Low;NoScaling
10;50;=AVERAGE($B$1921:$B$1922);4.000;Low;NoScaling
11;70;=AVERAGE($B$1922:$B$1923);4.000;Low;NoScaling
12;60;=AVERAGE($B$1923:$B$1924);4.000;Low;NoScaling
13;70;=AVERAGE($B$1924:$B$1925);4.000;Low;NoScaling
14;50;=AVERAGE($B$1925:$B$1926);4.000;Low;NoScaling
15;70;=AVERAGE($B$1926:$B$1927);4.000;Low;NoScaling
16;80;=AVERAGE($B$1927:$B$1928);4.000;Low;NoScaling
17;70;=AVERAGE($B$1928:$B$1929);4.000;Low;NoScaling
18;90;=AVERAGE($B$1929:$B$1930);4.000;Low;NoScaling
19;60;=AVERAGE($B$1930:$B$1931);4.000;Low;NoScaling
20;60;=AVERAGE($B$1931:$B$1932);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;70;70;4.000;Low;NoScaling
2;50;=AVERAGE($B$1934:$B$1935);4.000;Low;NoScaling
3;40;=AVERAGE($B$1935:$B$1936);4.000;Low;NoScaling
4;50;=AVERAGE($B$1936:$B$1937);4.000;Low;NoScaling
5;80;=AVERAGE($B$1937:$B$1938);4.000;Low;NoScaling
6;60;=AVERAGE($B$1938:$B$1939);4.000;Low;NoScaling
7;60;=AVERAGE($B$1939:$B$1940);4.000;Low;NoScaling
8;60;=AVERAGE($B$1940:$B$1941);4.000;Low;NoScaling
9;60;=AVERAGE($B$1941:$B$1942);4.000;Low;NoScaling
10;70;=AVERAGE($B$1942:$B$1943);4.000;Low;NoScaling
11;90;=AVERAGE($B$1943:$B$1944);4.000;Low;NoScaling
12;60;=AVERAGE($B$1944:$B$1945);4.000;Low;NoScaling
13;70;=AVERAGE($B$1945:$B$1946);4.000;Low;NoScaling
14;70;=AVERAGE($B$1946:$B$1947);4.000;Low;NoScaling
15;40;=AVERAGE($B$1947:$B$1948);4.000;Low;NoScaling
16;80;=AVERAGE($B$1948:$B$1949);4.000;Low;NoScaling
17;60;=AVERAGE($B$1949:$B$1950);4.000;Low;NoScaling
18;70;=AVERAGE($B$1950:$B$1951);4.000;Low;NoScaling
19;70;=AVERAGE($B$1951:$B$1952);4.000;Low;NoScaling
20;60;=AVERAGE($B$1952:$B$1953);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;60;60;4.000;Low;NoScaling
2;70;=AVERAGE($B$1955:$B$1956);4.000;Low;NoScaling
3;60;=AVERAGE($B$1956:$B$1957);4.000;Low;NoScaling
4;30;=AVERAGE($B$1957:$B$1958);4.000;Low;NoScaling
5;70;=AVERAGE($B$1958:$B$1959);4.000;Low;NoScaling
6;50;=AVERAGE($B$1959:$B$1960);4.000;Low;NoScaling
7;60;=AVERAGE($B$1960:$B$1961);4.000;Low;NoScaling
8;60;=AVERAGE($B$1961:$B$1962);4.000;Low;NoScaling
9;60;=AVERAGE($B$1962:$B$1963);4.000;Low;NoScaling
10;60;=AVERAGE($B$1963:$B$1964);4.000;Low;NoScaling
11;70;=AVERAGE($B$1964:$B$1965);4.000;Low;NoScaling
12;60;=AVERAGE($B$1965:$B$1966);4.000;Low;NoScaling
13;60;=AVERAGE($B$1966:$B$1967);4.000;Low;NoScaling
14;70;=AVERAGE($B$1967:$B$1968);4.000;Low;NoScaling
15;50;=AVERAGE($B$1968:$B$1969);4.000;Low;NoScaling
16;50;=AVERAGE($B$1969:$B$1970);4.000;Low;NoScaling
17;50;=AVERAGE($B$1970:$B$1971);4.000;Low;NoScaling
18;60;=AVERAGE($B$1971:$B$1972);4.000;Low;NoScaling
19;70;=AVERAGE($B$1972:$B$1973);4.000;Low;NoScaling
20;80;=AVERAGE($B$1973:$B$1974);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;50;50;4.000;Low;NoScaling
2;40;=AVERAGE($B$1976:$B$1977);4.000;Low;NoScaling
3;60;=AVERAGE($B$1977:$B$1978);4.000;Low;NoScaling
4;70;=AVERAGE($B$1978:$B$1979);4.000;Low;NoScaling
5;40;=AVERAGE($B$1979:$B$1980);4.000;Low;NoScaling
6;50;=AVERAGE($B$1980:$B$1981);4.000;Low;NoScaling
7;30;=AVERAGE($B$1981:$B$1982);4.000;Low;NoScaling
8;50;=AVERAGE($B$1982:$B$1983);4.000;Low;NoScaling
9;60;=AVERAGE($B$1983:$B$1984);4.000;Low;NoScaling
10;90;=AVERAGE($B$1984:$B$1985);4.000;Low;NoScaling
11;70;=AVERAGE($B$1985:$B$1986);4.000;Low;NoScaling
12;70;=AVERAGE($B$1986:$B$1987);4.000;Low;NoScaling
13;50;=AVERAGE($B$1987:$B$1988);4.000;Low;NoScaling
14;40;=AVERAGE($B$1988:$B$1989);4.000;Low;NoScaling
15;40;=AVERAGE($B$1989:$B$1990);4.000;Low;NoScaling
16;60;=AVERAGE($B$1990:$B$1991);4.000;Low;NoScaling
17;50;=AVERAGE($B$1991:$B$1992);4.000;Low;NoScaling
18;80;=AVERAGE($B$1992:$B$1993);4.000;Low;NoScaling
19;60;=AVERAGE($B$1993:$B$1994);4.000;Low;NoScaling
20;40;=AVERAGE($B$1994:$B$1995);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;50;50;4.000;Low;NoScaling
2;70;=AVERAGE($B$1997:$B$1998);4.000;Low;NoScaling
3;40;=AVERAGE($B$1998:$B$1999);4.000;Low;NoScaling
4;70;=AVERAGE($B$1999:$B$2000);4.000;Low;NoScaling
5;80;=AVERAGE($B$2000:$B$2001);4.000;Low;NoScaling
6;50;=AVERAGE($B$2001:$B$2002);4.000;Low;NoScaling
7;80;=AVERAGE($B$2002:$B$2003);4.000;Low;NoScaling
8;50;=AVERAGE($B$2003:$B$2004);4.000;Low;NoScaling
9;60;=AVERAGE($B$2004:$B$2005);4.000;Low;NoScaling
10;60;=AVERAGE($B$2005:$B$2006);4.000;Low;NoScaling
11;60;=AVERAGE($B$2006:$B$2007);4.000;Low;NoScaling
12;70;=AVERAGE($B$2007:$B$2008);4.000;Low;NoScaling
13;50;=AVERAGE($B$2008:$B$2009);4.000;Low;NoScaling
14;70;=AVERAGE($B$2009:$B$2010);4.000;Low;NoScaling
15;70;=AVERAGE($B$2010:$B$2011);4.000;Low;NoScaling
16;50;=AVERAGE($B$2011:$B$2012);4.000;Low;NoScaling
17;70;=AVERAGE($B$2012:$B$2013);4.000;Low;NoScaling
18;70;=AVERAGE($B$2013:$B$2014);4.000;Low;NoScaling
19;70;=AVERAGE($B$2014:$B$2015);4.000;Low;NoScaling
20;60;=AVERAGE($B$2015:$B$2016);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;20;20;4.000;Low;NoScaling
2;40;=AVERAGE($B$2018:$B$2019);4.000;Low;NoScaling
3;40;=AVERAGE($B$2019:$B$2020);4.000;Low;NoScaling
4;30;=AVERAGE($B$2020:$B$2021);4.000;Low;NoScaling
5;60;=AVERAGE($B$2021:$B$2022);4.000;Low;NoScaling
6;60;=AVERAGE($B$2022:$B$2023);4.000;Low;NoScaling
7;70;=AVERAGE($B$2023:$B$2024);4.000;Low;NoScaling
8;50;=AVERAGE($B$2024:$B$2025);4.000;Low;NoScaling
9;80;=AVERAGE($B$2025:$B$2026);4.000;Low;NoScaling
10;40;=AVERAGE($B$2026:$B$2027);4.000;Low;NoScaling
11;40;=AVERAGE($B$2027:$B$2028);4.000;Low;NoScaling
12;60;=AVERAGE($B$2028:$B$2029);4.000;Low;NoScaling
13;60;=AVERAGE($B$2029:$B$2030);4.000;Low;NoScaling
14;60;=AVERAGE($B$2030:$B$2031);4.000;Low;NoScaling
15;60;=AVERAGE($B$2031:$B$2032);4.000;Low;NoScaling
16;30;=AVERAGE($B$2032:$B$2033);4.000;Low;NoScaling
17;80;=AVERAGE($B$2033:$B$2034);4.000;Low;NoScaling
18;60;=AVERAGE($B$2034:$B$2035);4.000;Low;NoScaling
19;50;=AVERAGE($B$2035:$B$2036);4.000;Low;NoScaling
20;60;=AVERAGE($B$2036:$B$2037);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;70;70;4.000;Low;NoScaling
2;40;=AVERAGE($B$2039:$B$2040);4.000;Low;NoScaling
3;60;=AVERAGE($B$2040:$B$2041);4.000;Low;NoScaling
4;50;=AVERAGE($B$2041:$B$2042);4.000;Low;NoScaling
5;50;=AVERAGE($B$2042:$B$2043);4.000;Low;NoScaling
6;50;=AVERAGE($B$2043:$B$2044);4.000;Low;NoScaling
7;70;=AVERAGE($B$2044:$B$2045);4.000;Low;NoScaling
8;70;=AVERAGE($B$2045:$B$2046);4.000;Low;NoScaling
9;50;=AVERAGE($B$2046:$B$2047);4.000;Low;NoScaling
10;60;=AVERAGE($B$2047:$B$2048);4.000;Low;NoScaling
11;70;=AVERAGE($B$2048:$B$2049);4.000;Low;NoScaling
12;70;=AVERAGE($B$2049:$B$2050);4.000;Low;NoScaling
13;80;=AVERAGE($B$2050:$B$2051);4.000;Low;NoScaling
14;70;=AVERAGE($B$2051:$B$2052);4.000;Low;NoScaling
15;70;=AVERAGE($B$2052:$B$2053);4.000;Low;NoScaling
16;80;=AVERAGE($B$2053:$B$2054);4.000;Low;NoScaling
17;70;=AVERAGE($B$2054:$B$2055);4.000;Low;NoScaling
18;60;=AVERAGE($B$2055:$B$2056);4.000;Low;NoScaling
19;60;=AVERAGE($B$2056:$B$2057);4.000;Low;NoScaling
20;40;=AVERAGE($B$2057:$B$2058);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;60;60;4.000;Low;NoScaling
2;40;=AVERAGE($B$2060:$B$2061);4.000;Low;NoScaling
3;70;=AVERAGE($B$2061:$B$2062);4.000;Low;NoScaling
4;60;=AVERAGE($B$2062:$B$2063);4.000;Low;NoScaling
5;60;=AVERAGE($B$2063:$B$2064);4.000;Low;NoScaling
6;70;=AVERAGE($B$2064:$B$2065);4.000;Low;NoScaling
7;50;=AVERAGE($B$2065:$B$2066);4.000;Low;NoScaling
8;60;=AVERAGE($B$2066:$B$2067);4.000;Low;NoScaling
9;70;=AVERAGE($B$2067:$B$2068);4.000;Low;NoScaling
10;30;=AVERAGE($B$2068:$B$2069);4.000;Low;NoScaling
11;60;=AVERAGE($B$2069:$B$2070);4.000;Low;NoScaling
12;40;=AVERAGE($B$2070:$B$2071);4.000;Low;NoScaling
13;50;=AVERAGE($B$2071:$B$2072);4.000;Low;NoScaling
14;80;=AVERAGE($B$2072:$B$2073);4.000;Low;NoScaling
15;60;=AVERAGE($B$2073:$B$2074);4.000;Low;NoScaling
16;70;=AVERAGE($B$2074:$B$2075);4.000;Low;NoScaling
17;80;=AVERAGE($B$2075:$B$2076);4.000;Low;NoScaling
18;50;=AVERAGE($B$2076:$B$2077);4.000;Low;NoScaling
19;60;=AVERAGE($B$2077:$B$2078);4.000;Low;NoScaling
20;70;=AVERAGE($B$2078:$B$2079);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;50;50;4.000;Low;NoScaling
2;80;=AVERAGE($B$2081:$B$2082);4.000;Low;NoScaling
3;60;=AVERAGE($B$2082:$B$2083);4.000;Low;NoScaling
4;60;=AVERAGE($B$2083:$B$2084);4.000;Low;NoScaling
5;50;=AVERAGE($B$2084:$B$2085);4.000;Low;NoScaling
6;60;=AVERAGE($B$2085:$B$2086);4.000;Low;NoScaling
7;20;=AVERAGE($B$2086:$B$2087);4.000;Low;NoScaling
8;50;=AVERAGE($B$2087:$B$2088);4.000;Low;NoScaling
9;70;=AVERAGE($B$2088:$B$2089);4.000;Low;NoScaling
10;80;=AVERAGE($B$2089:$B$2090);4.000;Low;NoScaling
11;40;=AVERAGE($B$2090:$B$2091);4.000;Low;NoScaling
12;60;=AVERAGE($B$2091:$B$2092);4.000;Low;NoScaling
13;70;=AVERAGE($B$2092:$B$2093);4.000;Low;NoScaling
14;50;=AVERAGE($B$2093:$B$2094);4.000;Low;NoScaling
15;80;=AVERAGE($B$2094:$B$2095);4.000;Low;NoScaling
16;60;=AVERAGE($B$2095:$B$2096);4.000;Low;NoScaling
17;60;=AVERAGE($B$2096:$B$2097);4.000;Low;NoScaling
18;60;=AVERAGE($B$2097:$B$2098);4.000;Low;NoScaling
19;70;=AVERAGE($B$2098:$B$2099);4.000;Low;NoScaling
20;80;=AVERAGE($B$2099:$B$2100);4.000;Low;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;100;100;4.000;Average;NoScaling
2;90;=AVERAGE($B$2102:$B$2103);4.000;Average;NoScaling
3;90;=AVERAGE($B$2103:$B$2104);4.000;Average;NoScaling
4;80;=AVERAGE($B$2104:$B$2105);4.000;Average;NoScaling
5;90;=AVERAGE($B$2105:$B$2106);4.000;Average;NoScaling
6;110;=AVERAGE($B$2106:$B$2107);4.000;Average;NoScaling
7;100;=AVERAGE($B$2107:$B$2108);4.000;Average;NoScaling
8;100;=AVERAGE($B$2108:$B$2109);4.000;Average;NoScaling
9;90;=AVERAGE($B$2109:$B$2110);4.000;Average;NoScaling
10;90;=AVERAGE($B$2110:$B$2111);4.000;Average;NoScaling
11;110;=AVERAGE($B$2111:$B$2112);4.000;Average;NoScaling
12;110;=AVERAGE($B$2112:$B$2113);4.000;Average;NoScaling
13;90;=AVERAGE($B$2113:$B$2114);4.000;Average;NoScaling
14;80;=AVERAGE($B$2114:$B$2115);4.000;Average;NoScaling
15;110;=AVERAGE($B$2115:$B$2116);4.000;Average;NoScaling
16;110;=AVERAGE($B$2116:$B$2117);4.000;Average;NoScaling
17;90;=AVERAGE($B$2117:$B$2118);4.000;Average;NoScaling
18;100;=AVERAGE($B$2118:$B$2119);4.000;Average;NoScaling
19;80;=AVERAGE($B$2119:$B$2120);4.000;Average;NoScaling
20;90;=AVERAGE($B$2120:$B$2121);4.000;Average;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.000;Average;NoScaling
2;80;=AVERAGE($B$2123:$B$2124);4.000;Average;NoScaling
3;80;=AVERAGE($B$2124:$B$2125);4.000;Average;NoScaling
4;90;=AVERAGE($B$2125:$B$2126);4.000;Average;NoScaling
5;80;=AVERAGE($B$2126:$B$2127);4.000;Average;NoScaling
6;110;=AVERAGE($B$2127:$B$2128);4.000;Average;NoScaling
7;60;=AVERAGE($B$2128:$B$2129);4.000;Average;NoScaling
8;110;=AVERAGE($B$2129:$B$2130);4.000;Average;NoScaling
9;90;=AVERAGE($B$2130:$B$2131);4.000;Average;NoScaling
10;110;=AVERAGE($B$2131:$B$2132);4.000;Average;NoScaling
11;90;=AVERAGE($B$2132:$B$2133);4.000;Average;NoScaling
12;100;=AVERAGE($B$2133:$B$2134);4.000;Average;NoScaling
13;110;=AVERAGE($B$2134:$B$2135);4.000;Average;NoScaling
14;90;=AVERAGE($B$2135:$B$2136);4.000;Average;NoScaling
15;100;=AVERAGE($B$2136:$B$2137);4.000;Average;NoScaling
16;100;=AVERAGE($B$2137:$B$2138);4.000;Average;NoScaling
17;90;=AVERAGE($B$2138:$B$2139);4.000;Average;NoScaling
18;100;=AVERAGE($B$2139:$B$2140);4.000;Average;NoScaling
19;100;=AVERAGE($B$2140:$B$2141);4.000;Average;NoScaling
20;90;=AVERAGE($B$2141:$B$2142);4.000;Average;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;90;90;4.000;Average;NoScaling
